32个省份（包括自治区、直辖市）,name,区域代码,city,经度-角度,纬度-角度,经度-弧度,纬度-弧度,南侧或北侧（南侧为-1，北侧为1，直接筛选即可）
北京市,北京市,110000,1100,116.42,39.93,2.031912315,0.69690997,1
天津市,天津市,120000,1200,117.2,39.12,2.045525883,0.682772803,1
河北省,石家庄市,130100,1301,114.52,38.05,1.998751059,0.66409778,1
河北省,唐山市,130200,1302,118.17,39.63,2.062455577,0.691673983,1
河北省,秦皇岛市,130300,1303,119.6,39.93,2.087413785,0.69690997,1
河北省,邯郸市,130400,1304,114.48,36.6,1.998052928,0.638790506,1
河北省,邢台市,130500,1305,114.5,38.05,1.998401994,0.66409778,1
河北省,保定市,130600,1306,115.45,38.87,2.014982621,0.67840948,1
河北省,张家口市,130700,1307,114.5,38.05,1.998401994,0.66409778,1
河北省,承德市,130800,1308,117.93,40.97,2.058266787,0.715061395,1
河北省,沧州市,130900,1309,114.47,38.05,1.997878395,0.66409778,1
河北省,廊坊市,131000,1310,116.68,39.52,2.036450171,0.68975412,1
河北省,衡水市,131100,1311,115.68,37.73,2.018996879,0.658512727,1
山西省,太原市,140100,1401,112.57,37.73,1.964717139,0.658512727,1
山西省,大同市,140200,1402,113.28,40.08,1.977108977,0.699527964,1
山西省,阳泉市,140300,1403,113.28,40.08,1.977108977,0.699527964,1
山西省,长治市,140400,1404,113.28,40.08,1.977108977,0.699527964,1
山西省,晋城市,140500,1405,113.28,40.08,1.977108977,0.699527964,1
山西省,朔州市,140600,1406,112.43,39.33,1.962273678,0.686437995,1
山西省,晋中市,140700,1407,112.75,37.68,1.967858732,0.657640062,1
山西省,运城市,140800,1408,110.98,35.02,1.936966404,0.611214304,1
山西省,忻州市,140900,1409,112.73,38.42,1.967509666,0.670555499,1
山西省,临汾市,141000,1410,111.52,36.08,1.946391182,0.629714794,1
山西省,吕梁市,141100,1411,111.13,37.52,1.939584398,0.654847535,1
内蒙古自治区,呼和浩特市,150100,1501,111.65,40.87,1.94866011,0.713316065,1
内蒙古自治区,包头市,150200,1502,110.02,40.58,1.920211243,0.70825461,1
内蒙古自治区,乌海市,150300,1503,106.83,39.7,1.86453524,0.692895713,1
内蒙古自治区,赤峰市,150400,1504,118.97,42.28,2.076418211,0.737925208,1
内蒙古自治区,通辽市,150500,1505,122.27,43.62,2.134014076,0.76131262,1
内蒙古自治区,鄂尔多斯市,150600,1506,110,39.82,1.919862177,0.694990108,1
内蒙古自治区,呼伦贝尔市,150700,1507,119.77,49.22,2.090380845,0.859051058,1
内蒙古自治区,巴彦淖尔市,150800,1508,107.4,40.75,1.874483617,0.71122167,1
内蒙古自治区,乌兰察布市,150900,1509,113.1,41.03,1.973967384,0.716108592,1
内蒙古自治区,兴安盟,152200,1522,122.05,46.08,2.130174352,0.804247719,1
内蒙古自治区,锡林郭勒盟,152500,1525,111.98,43.65,1.954419696,0.761836218,1
内蒙古自治区,阿拉善盟,152900,1529,105.67,38.83,1.844289421,0.677711349,1
辽宁省,沈阳市,210100,2101,117.2,39.12,2.045525883,0.682772803,1
辽宁省,大连市,210200,2102,121.63,38.92,2.122843969,0.679282145,1
辽宁省,鞍山市,210300,2103,122.98,41.1,2.146405914,0.717330323,1
辽宁省,抚顺市,210400,2104,123.88,41.87,2.162113877,0.730769358,1
辽宁省,本溪市,210500,2105,123.77,41.3,2.160194015,0.720820981,1
辽宁省,丹东市,210600,2106,124.38,40.13,2.170840524,0.700400629,1
辽宁省,锦州市,210700,2107,121.12,41.13,2.11394279,0.717853921,1
辽宁省,营口市,210800,2108,122.27,40.68,2.134014076,0.70999994,1
辽宁省,阜新市,210900,2109,121.65,42.02,2.123193035,0.733387352,1
辽宁省,辽阳市,211000,2110,123.17,41.27,2.14972204,0.720297382,1
辽宁省,盘锦市,211100,2111,122.05,41.2,2.130174352,0.719075652,1
辽宁省,铁岭市,211200,2112,123.85,42.28,2.161590279,0.737925208,1
辽宁省,朝阳市,211300,2113,120.45,41.57,2.102249084,0.72553337,1
辽宁省,葫芦岛市,211400,2114,120.87,40.77,2.109579467,0.711570736,1
吉林省,长春市,220100,2201,125.33,43.87,2.187421152,0.765675943,1
吉林省,吉林市,220200,2202,126.57,43.88,2.209063234,0.765850476,1
吉林省,四平市,220300,2203,122.95,41.12,2.145882315,0.717679388,1
吉林省,辽源市,220400,2204,125.12,42.9,2.18375596,0.748746249,1
吉林省,通化市,220500,2205,125.95,41.73,2.198242193,0.728325897,1
吉林省,白山市,220600,2206,126.4,41.93,2.206096175,0.731816555,1
吉林省,松原市,220700,2207,124.8,45.17,2.178170906,0.788365223,1
吉林省,白城市,220800,2208,122.85,45.62,2.144136986,0.796219205,1
吉林省,延边朝鲜族自治州,222400,2224,129.5,42.88,2.260201381,0.748397183,1
黑龙江省,哈尔滨市,230100,2301,126.62,45.77,2.209935899,0.798837199,1
黑龙江省,齐齐哈尔市,230200,2302,123.95,47.32,2.163335608,0.825889802,1
黑龙江省,鸡西市,230300,2303,130.97,45.3,2.285857721,0.790634151,1
黑龙江省,鹤岗市,230400,2304,130.28,47.33,2.273814949,0.826064335,1
黑龙江省,双鸭山市,230500,2305,131.17,46.63,2.28934838,0.81384703,1
黑龙江省,大庆市,230600,2306,125.02,46.6,2.182010631,0.813323431,1
黑龙江省,伊春市,230700,2307,129.28,47.13,2.256361657,0.822573676,1
黑龙江省,佳木斯市,230800,2308,130.28,47.33,2.273814949,0.826064335,1
黑龙江省,七台河市,230900,2309,130.83,45.8,2.28341426,0.799360797,1
黑龙江省,牡丹江市,231000,2310,129.62,44.58,2.262295776,0.778067781,1
黑龙江省,黑河市,231100,2311,127.48,50.25,2.22494573,0.877027949,1
黑龙江省,绥化市,231200,2312,126.98,46.63,2.216219084,0.81384703,1
黑龙江省,大兴安岭地区,232700,2327,126.65,51.73,2.210459498,0.902858822,1
上海市,上海市,310000,3100,121.48,31.23,2.120225975,0.545066325,1
江苏省,南京市,320100,3201,118.8,32.05,2.073451151,0.559378025,1
江苏省,无锡市,320200,3202,120.3,31.58,2.09963109,0.551174978,1
江苏省,徐州市,320300,3203,117.18,34.28,2.045176817,0.598298868,1
江苏省,常州市,320400,3204,119.93,31.75,2.093173372,0.554142038,1
江苏省,苏州市,320500,3205,120.63,31.3,2.105390677,0.546288056,1
江苏省,南通市,320600,3206,120.85,32,2.109230401,0.558505361,1
江苏省,连云港市,320700,3207,119.37,34.75,2.083399528,0.606501915,1
江苏省,淮安市,320800,3208,124.15,42.53,2.166826266,0.742288531,1
江苏省,盐城市,320900,3209,120.13,33.4,2.09666403,0.58293997,1
江苏省,扬州市,321000,3210,119.43,32.38,2.084446726,0.565137612,1
江苏省,镇江市,321100,3211,119.47,32.2,2.085144857,0.561996019,1
江苏省,泰州市,321200,3212,119.85,32.92,2.091777109,0.57456239,1
江苏省,宿迁市,321300,3213,118.25,33.97,2.06385184,0.592888347,1
浙江省,杭州市,330100,3301,120.17,30.25,2.097362162,0.527962099,1
浙江省,宁波市,330200,3302,121.55,29.87,2.121447706,0.521329848,-1
浙江省,温州市,330300,3303,120.65,28.02,2.105739743,0.489041256,-1
浙江省,嘉兴市,330400,3304,120.7,30.77,2.106612407,0.537037811,1
浙江省,湖州市,330500,3305,120.12,30.87,2.096489497,0.53878314,1
浙江省,绍兴市,330600,3306,120.57,30,2.104343479,0.523598776,0
浙江省,金华市,330700,3307,119.65,29.08,2.08828645,0.507541746,-1
浙江省,衢州市,330800,3308,118.87,28.93,2.074672882,0.504923753,-1
浙江省,舟山市,330900,3309,122.1,30.02,2.131047017,0.523947841,1
浙江省,台州市,331000,3310,121.43,28.68,2.119353311,0.500560429,-1
浙江省,丽水市,331100,3311,119.92,28.45,2.092998839,0.496546172,-1
安徽省,合肥市,340100,3401,117.3,31.87,2.047271213,0.556236433,1
安徽省,芜湖市,340200,3402,118.37,31.35,2.065946236,0.547160721,1
安徽省,蚌埠市,340300,3403,117.38,32.95,2.048667476,0.575085989,1
安徽省,淮南市,340400,3404,117.05,32.63,2.042907889,0.569500935,1
安徽省,马鞍山市,340500,3405,118.48,31.73,2.067866098,0.553792972,1
安徽省,淮北市,340600,3406,116.82,34,2.038893632,0.593411946,1
安徽省,铜陵市,340700,3407,117.82,30.93,2.056346925,0.539830338,1
安徽省,安庆市,340800,3408,117.05,30.5,2.042907889,0.532325422,1
安徽省,黄山市,341000,3410,118.33,29.72,2.065248104,0.518711854,-1
安徽省,滁州市,341100,3411,118.3,32.3,2.064724505,0.563741348,1
安徽省,阜阳市,341200,3412,115.8,32.88,2.021091274,0.573864258,1
安徽省,宿州市,341300,3413,116.97,33.63,2.041511626,0.586954227,1
安徽省,六安市,341500,3415,116.5,31.77,2.033308579,0.554491103,1
安徽省,亳州市,341600,3416,115.77,33.88,2.020567675,0.591317551,1
安徽省,池州市,341700,3417,117.48,30.65,2.050412805,0.534943416,1
安徽省,宣城市,341800,3418,118.75,30.95,2.072578487,0.540179403,1
福建省,福州市,350100,3501,117.18,34.28,2.045176817,0.598298868,1
福建省,厦门市,350200,3502,118.08,24.45,2.060884781,0.426733002,-1
福建省,莆田市,350300,3503,119,25.43,2.07694181,0.443837229,-1
福建省,三明市,350400,3504,117.63,26.27,2.053030799,0.458497994,-1
福建省,泉州市,350500,3505,118.6,24.92,2.069960493,0.43493605,-1
福建省,漳州市,350600,3506,117.65,24.52,2.053379865,0.427954733,-1
福建省,南平市,350700,3507,118.17,26.65,2.062455577,0.465130246,-1
福建省,龙岩市,350800,3508,117.03,25.1,2.042558824,0.438077642,-1
福建省,宁德市,350900,3509,119.52,26.67,2.086017522,0.465479312,-1
江西省,南昌市,360100,3601,115.9,28.68,2.022836603,0.500560429,-1
江西省,景德镇市,360200,3602,117.17,29.27,2.045002285,0.510857872,-1
江西省,萍乡市,360300,3603,113.87,27.65,1.987406419,0.482583538,-1
江西省,九江市,360400,3604,115.98,29.68,2.024232866,0.518013722,-1
江西省,新余市,360500,3605,114.93,27.8,2.005906909,0.485201532,-1
江西省,鹰潭市,360600,3606,117.05,28.23,2.042907889,0.492706448,-1
江西省,赣州市,360700,3607,114.93,25.87,2.005906909,0.451516677,-1
江西省,吉安市,360800,3608,114.98,27.12,2.006779574,0.473333293,-1
江西省,宜春市,360900,3609,114.38,27.8,1.996307598,0.485201532,-1
江西省,抚州市,361000,3610,116.35,27.98,2.030690585,0.488343125,-1
江西省,上饶市,361100,3611,117.95,28.43,2.058615853,0.496197106,-1
山东省,济南市,370100,3701,117.08,36.67,2.043431488,0.640012237,1
山东省,青岛市,370200,3702,120.38,36.07,2.101027354,0.629540261,1
山东省,淄博市,370300,3703,118.03,36.82,2.060012116,0.642630231,1
山东省,枣庄市,370400,3704,117,36.65,2.042035225,0.639663171,1
山东省,东营市,370500,3705,118.5,37.47,2.068215164,0.653974871,1
山东省,烟台市,370600,3706,121.38,37.53,2.118480646,0.655022068,1
山东省,潍坊市,370700,3707,119.1,36.72,2.078687139,0.640884901,1
山东省,济宁市,370800,3708,117,36.65,2.042035225,0.639663171,1
山东省,泰安市,370900,3709,117.13,36.18,2.044304153,0.631460123,1
山东省,威海市,371000,3710,122.12,37.5,2.131396083,0.654498469,1
山东省,日照市,371100,3711,119.45,35.42,2.084795792,0.618195621,1
山东省,莱芜市,371200,3712,117.65,36.2,2.053379865,0.631809189,1
山东省,临沂市,371300,3713,118.33,35.07,2.065248104,0.612086969,1
山东省,德州市,371400,3714,116.3,37.45,2.02981792,0.653625805,1
山东省,聊城市,371500,3715,115.98,36.45,2.024232866,0.636172512,1
山东省,滨州市,371600,3716,118,37.38,2.059488517,0.652404074,1
山东省,菏泽市,371700,3717,115.43,35.25,2.014633556,0.615228561,1
河南省,郑州市,410100,4101,113.6,34.75,1.98269403,0.606501915,1
河南省,开封市,410200,4102,114.35,34.8,1.995784,0.60737458,1
河南省,洛阳市,410300,4103,112.47,34.68,1.96297181,0.605280185,1
河南省,平顶山市,410400,4104,114.47,38.05,1.997878395,0.66409778,1
河南省,安阳市,410500,4105,114.35,36.08,1.995784,0.629714794,1
河南省,鹤壁市,410600,4106,114.15,35.95,1.992293341,0.627445866,1
河南省,新乡市,410700,4107,113.87,35.3,1.987406419,0.616101226,1
河南省,焦作市,410800,4108,113.22,35.25,1.976061779,0.615228561,1
河南省,濮阳市,410900,4109,115.07,35.78,2.00835037,0.624478806,1
河南省,许昌市,411000,4110,113.82,34.03,1.986533755,0.593935544,1
河南省,漯河市,411100,4111,114,33.58,1.989675347,0.586081563,1
